day,interest_tag,N Rows
3576614400,.net,1
3576614400,3d-animation,1
3576614400,3d-lighting,1
3576614400,3d-modeling,1
3576614400,3d-rendering,1
3576614400,3d-texturing,1
3576614400,3d-uv-mapping,1
3576614400,adobe,2
3576614400,after-effects,1
3576614400,agile,1
3576614400,algorithms,1
3576614400,angular,3
3576614400,asp.net,2
3576614400,asp.net-core,1
3576614400,automation,1
3576614400,big-data,1
3576614400,broadcast-motion-graphics,1
3576614400,business-intelligence,1
3576614400,c#,1
3576614400,cad-part,1
3576614400,cad-sketching,1
3576614400,cinema-4d,2
3576614400,cloud-computing,1
3576614400,comptia-security+,1
3576614400,computer-science,1
3576614400,cryptography,1
3576614400,css,1
3576614400,customer-service,1
3576614400,data-visualization,1
3576614400,devops,1
3576614400,electronics,1
3576614400,fusion-360,1
3576614400,git,1
3576614400,graphic-design,1
3576614400,html5,2
3576614400,illustrator,1
3576614400,image-editing,1
3576614400,incident-response,1
3576614400,information-security,1
3576614400,it-fundamentals,2
3576614400,java,1
3576614400,javascript,6
3576614400,javascript-frameworks,5
3576614400,javascript-libraries,5
3576614400,jquery,1
3576614400,leadership,1
3576614400,machine-learning,1
3576614400,management,1
3576614400,mobile-device-management,1
3576614400,motion-graphics,1
3576614400,network-security,1
3576614400,nodejs,2
3576614400,object-oriented-programming,1
3576614400,part-modeling,1
3576614400,pipeline,1
3576614400,project-management,1
3576614400,python,1
3576614400,react.js,1
3576614400,r-framework,1
3576614400,security,1
3576614400,security-fundamentals,1
3576614400,soft-skills,1
3576614400,unity,1
3576614400,uv-mapping,1
3576614400,wireless-networking,1
3576700800,angular,1
3576700800,asp.net,1
3576700800,c#,1
3576700800,html5,1
3576700800,information-security,1
3576700800,java,1
3576700800,javascript,1
3576700800,javascript-frameworks,1
3576700800,javascript-libraries,1
3576700800,messaging-collaboration,1
3576700800,network-infrastructure,1
3576700800,nodejs,1
3576700800,penetration-testing,1
3576700800,security,1
3576700800,server-infrastructure,2
3576700800,sharepoint,1
3576700800,virtualization,1
3576787200,3d-printing,1
3576787200,adobe,1
3576787200,angular,4
3576787200,asp.net,2
3576787200,c#,2
3576787200,css,1
3576787200,data-analysis,1
3576787200,devops,2
3576787200,graphic-design,1
3576787200,html5,3
3576787200,information-security,2
3576787200,java,2
3576787200,javascript,5
3576787200,javascript-frameworks,5
3576787200,javascript-libraries,5
3576787200,leadership,1
3576787200,management,1
3576787200,messaging-collaboration,2
3576787200,nodejs,2
3576787200,penetration-testing,2
3576787200,productivity,1
3576787200,project-management,1
3576787200,security,2
3576787200,server-infrastructure,2
3576787200,sharepoint,2
3576787200,soft-skills,1
3576787200,sql,1
3576787200,ux-design,1
3576787200,ux-design2,1
3576787200,virtualization,2
3576787200,web-design,1
3577132800,angular,1
3577132800,comptia-security+,1
3577132800,cryptography,1
3577132800,customer-service,1
3577132800,devops,4
3577132800,excel,1
3577132800,html5,1
3577132800,incident-response,1
3577132800,information-security,1
3577132800,it-fundamentals,1
3577132800,javascript,1
3577132800,javascript-frameworks,1
3577132800,javascript-libraries,1
3577132800,malware-analysis,1
3577132800,network-security,1
3577132800,secure-by-design,1
3577132800,security,1
3577132800,security-fundamentals,1
3577132800,wireless-networking,1
3577219200,azure,1
3577219200,azure-deployment,1
3577219200,azure-mobile-services,1
3577219200,cloud-computing,2
3577219200,data-science,1
3577219200,digital-forensics,1
3577219200,javascript,1
3577219200,javascript-frameworks,1
3577219200,javascript-libraries,1
3577219200,malware-analysis,1
3577219200,microsoft-azure,1
3577219200,python,1
3577219200,security-fundamentals,1
3577219200,windows-azure,1
3577392000,design-patterns,1
3577392000,javascript,1
3577392000,javascript-frameworks,1
3577392000,javascript-libraries,1
3577392000,react.js,1
3577651200,adobe,1
3577824000,angular,3
3577824000,comptia-security+,1
3577824000,cryptography,1
3577824000,customer-service,1
3577824000,devops,1
3577824000,html5,1
3577824000,incident-response,1
3577824000,information-security,1
3577824000,it-fundamentals,1
3577824000,javascript,4
3577824000,javascript-frameworks,4
3577824000,javascript-libraries,4
3577824000,malware-analysis,1
3577824000,memory-management,1
3577824000,network-security,1
3577824000,nodejs,4
3577824000,powerpivot,1
3577824000,react.js,4
3577824000,requirements-gathering,1
3577824000,secure-by-design,1
3577824000,security,1
3577824000,security-fundamentals,1
3577824000,wireless-networking,1
3577910400,angular,1
3577910400,cloud-computing,1
3577910400,data-analysis,1
3577910400,data-visualization,1
3577910400,devops,1
3577910400,excel,1
3577910400,functional-programming,1
3577910400,javascript,1
3577910400,javascript-frameworks,1
3577910400,javascript-libraries,1
3577910400,nodejs,1
3577910400,postgresql,1
3577910400,react.js,1
3577910400,sql,1
3577996800,angular,7
3577996800,asp.net,2
3577996800,excel,4
3578342400,aws,1
3578342400,cloud-computing,1
3578342400,cryptography,1
3578342400,data-analysis,2
3578342400,design-patterns,1
3578342400,devops,1
3578342400,docker,1
3578342400,functional-programming,1
3578342400,information-security,1
3578342400,linux,1
3578342400,network-security,1
3578342400,postgresql,1
3578601600,cassandra,1
3578601600,design-patterns,1
3578601600,javascript,1
3578601600,javascript-frameworks,1
3578601600,javascript-libraries,1
3578601600,react.js,1
3578860800,angular,1
3578860800,c#,1
3578860800,design-patterns,1
3578860800,java,1
3578860800,javascript,1
3578860800,javascript-frameworks,1
3578860800,javascript-libraries,1
3578860800,nodejs,1
3578860800,python,1
3578860800,react.js,1
3578860800,typescript,1
3578947200,angular,1
3578947200,machine-learning,1
3579033600,data-analysis,1
3579120000,after-effects,1
3579120000,angular,1
3579120000,javascript,1
3579120000,javascript-frameworks,1
3579120000,javascript-libraries,1
3579120000,mobile-design,1
3579120000,responsive-design,1
3579120000,ui-design,1
3579120000,visual-design,1
3579206400,angular,1
3579206400,machine-learning,1
3579552000,adobe,2
3579552000,angular,1
3579552000,business-analysis,1
3579552000,business-intelligence,1
3579552000,data-analysis,1
3579552000,data-visualization,1
3579552000,excel,1
3579552000,illustrator,1
3579552000,javascript,1
3579552000,javascript-frameworks,1
3579552000,javascript-libraries,1
3579552000,leadership,1
3579552000,management,1
3579552000,marketing,1
3579552000,nodejs,1
3579552000,photoshop,1
3579552000,react.js,1
3579552000,salesforce,1
3579552000,wordpress,1
3579638400,business-intelligence,1
3579638400,data-analysis,1
3579638400,leadership,1
3579638400,problem-solving,1
3579638400,python,1
